Title,Album,Lyrics
Simmer,Petals for Armor,"[Verse 1]
Rage is a quiet thing
Ooh, you think that you've tamed it
But it's just lying in wait
Rage, is it in our veins?
Feel it in my face when
When I least expect it


[Refrain]
Give in


[Chorus]
Control
There's so many ways to give in
Eyes closed
Another way to make it to ten

Oh, how to draw the line between wrath and mercy?

Gotta simmer, simmer, simmer, simmer, simmer down

Control
There's so many ways to give in
Eyes closed
Another way to make it to ten

Oh, how to draw the line between wrath and mercy?

Gotta simmer, simmer, simmer, simmer, simmer down


[Verse 2]
If I had seen my reflection
As something more precious
He would've never
Mmm, and if my child needed protection
From a fucker like that man
I'd sooner gut him
'Cause nothing cuts like a mother

[Refrain]
Give in


[Chorus]
Control
There's so many ways to give in
Eyes closed
Another way to make it to ten

Oh, how to draw the line between wrath and mercy?

Simmer, simmer, simmer, simmer, simmer down

Control
There's so many ways to give in
Eyes closed
Another way to make it to ten

Oh, how to draw the line between wrath and mercy?

(Simmer, simmer, simmer, simmer, simmer, simmer)
Gotta simmer, simmer, simmer, simmer, simmer down


[Bridge]
(Simmer, simmer, simmer, simmer)
(Simmer, simmer, simmer, simmer, simmer)

Wrap yourself in petals
(Yourself)

Wrap yourself in petals
(Control, yourself)

Wrap yourself in petals for armor
(Control, control)

(Simmer, simmer, simmer, simmer, simmer, simmer)

Petals

(Simmer, simmer, simmer, simmer, simmer)

For armor

(Simmer, simmer, simmer, simmer, simmer, simmer)
(Simmer, simmer, simmer)

[Refrain]
Give in


[Chorus]
Control
There's so many ways to give in
Eyes closed
Another way to make it to ten

Oh, how to draw the line between wrath and mercy?

Gotta simmer, simmer, simmer, simmer, simmer down

Control
There's so many ways to give in
Eyes closed
Another way to make it to ten

Oh, how to draw the line between wrath and mercy?

Gotta simmer, simmer, simmer"
Leave It Alone,Petals for Armor,"[Verse 1]
Don't nobody tell me
That God don't have a sense of humor
'Cause now that I want to live
Well, everybody around me is dying

Now that I finally wanna live
The ones I love are dyin'
Becoming friends with a noose that I made
And I keep tryin' to untie it
Make it into something useful
Or maybe hang it through a window pane
Turn it into a fire escape


[Chorus]
It tastes so bitter on my tongue
The truth's a killer
But I can't leave it alone
But I can't leave it alone
But I can't leave it alone

[Verse 2]
You don't remember my name somedays
Or that we're related
It triggers my worry
Who else am I gonna lose before I am ready?
And who's gonna lose me?

[Chorus]
It tastes so bitter on my tongue
The truth's a killer
But I can't leave it alone
But I can't leave it alone
But I can't leave it alone
But I can't leave it a-

[Verse 3]
If you know love
You best prepare to grieve
Let it enter your open heart and
Then prepare to let it leave

[Chorus]
It tastes so bitter
The truth's a killer
But I can't leave it alone
But I can't leave it alone
But I can't leave it alone
But I can't leave it alone
But I can't leave it a-
But I can't leave it a-"
Cinnamon,Petals for Armor,"""Cinnamon"" is, according to Hayley, an ode to her home. Throughout this minimalistic track, she sings about the walls around her, her dog Alf, and her everyday routines.
[Intro]
Ah, ah-ooh
Ooh-ah, ah-ah-ah
Ah, ah-ooh
Ooh-ah, ah-ah-ah-ah

[Verse 1]
On the walls of my home
There are signs that I'm alone

I keep on every light
Talk to my dog, he don't mind (Ooh-ooh-ooh)


[Chorus]
Ah, ah-ooh
Ooh-ah, ah-ah-ah-ah
Ah, ah-ooh
Ooh-ah, ah-ah-ah-ah

[Verse 2]
Eat my breakfast in the nude
Lemon water
, living room
Home is where I'm feminine

Smells like citrus and cinnamon


[Chorus]
Ah, ah-ooh (Cinnamon, cinnamon)
Ooh-ah, ah-ah-ah-ah
Ah, ah-ooh (Cinnamon, cinnamon)
Ooh-ah, ah-ah-ah-ah
Ah, ah-ooh (Cinnamon, cinnamon)
Ooh-ah, ah-ah-ah-ah
Ah, ah-ooh (Cinnamon, cinnamon)
Ooh-ah, ah-ah-ah-ah
Ah-ah-ah-ah, ah-ah-ah-ah

[Bridge]
I'm not lonely
I am free

But if I let you in
You would never wanna leave
(If I let you in, if I let you in)
If ever I let you in
Cinnamon

I'm not lonely, baby, I am free
Mmm, finally
I'm not lonely, babe, I am free

[Chorus]
Ah, ah-ooh (I'm not lonely, babe; cinnamon, cinnamon)
Ooh-ah, ah-ah-ah-ah
Ah, ah-ooh (I'm not lonely, babe; cinnamon, cinnamon)
Ooh-ah, ah-ah-ah-ah

[Outro]
If I let you in, cinnamon
If I let you in, cinnamon
Ooh-ah, ah-ah-ah-ah"
Creepin',Petals for Armor,"[Verse 1]
Batty pair of eyes, creepin'
Aiming like a laser pointer
Poor little vampire baby
We bleed holy water


[Chorus]
So why you creepin' 'round here?
(Why you creepin'? Why you creepin'?)
Why you creepin' 'round?

[Verse 2]
Strange you're not a threat to me
And I admire your dedication
Poor little vampire
Don't you know
That I'm a moon in daylight?


[Chorus]
Why you creepin' 'round here?
(Why you creepin'? Why you creepin'?)
Why you creepin' 'round here?
(Why you creepin'? Why you creepin'?)
Why you creepin' 'round?

[Post-Chorus]
It always starts as something so simple and innocent but
Too much of anything, you'll never know how to quit, ah
You had a taste but you don't want to forget it
Oh, just keep on suckin' on the memory of him

[Bridge]
Creepin'
Creepin' (Why you)
Creepin'

[Chorus]
So why you creepin' 'round here?
(Why you creepin'? Why you creepin'?)
Why you creepin' 'round here?
(Why you creepin'? Why you creepin'?)
Why you creepin' 'round?

[Post-Chorus]
It always starts as something so simple and innocent but
Too much of anything you'll never know how to quit, ah
You had a taste but you don't want to forget it
Oh, just keep on suckin' on the memory of him

[Outro]
Creepin'
Why you creepin'?
Why you creepin'?
So why you creepin' 'round here?"
Sudden Desire,Petals for Armor,"""Sudden Desire"", the closing track to Hayley's first EP, sees her with the urge to connect with someone in a romantic fashion.
[Verse 1]
I wanted him to kiss me how
With open mouth and open mouth
We keep our distance now
I wanna feel his hands go down
I try not to think about
What happened last night outside his house
Too far to go back now
Just wanna feel his hands go down

[Refrain]
Sudden
Sudden desi - 
Sudden
Sudden desi - 
A sudden desire


[Verse 2]
Take the elephant by the hand and hold it
It's cruel to tame a thing that don't know its strength
But better to walk beside it
Than underneath
My kind companion
Softened stone
My gentle giant
Painful reminder

[Chorus]
Don't look in my eyes (Sudden)
I feel a sudden desire (Sudden desire)
Don't know if I can deny (Sudden)
A sudden desire (Sudden desire)
Your fingerprints on my skin
A painful reminder
Don't look in my eyes (Sudden)
I feel a sudden desire (Sudden desire)
A sudden desire


[Bridge]
Won't fit in the room, big balloon
Trails me 'cause I can't let go
Everywhere I am, it sticks close like a friend
Just like him
Just like him
Friendly reminder of a sudden desire


[Chorus]
Don't look in my eyes (Sudden)
I feel a sudden desire (Sudden desire)
Don't know if I can deny (Sudden)
A sudden desire (Sudden desire)
Your fingerprints on my skin
A painful reminder
Don't look in my eyes (Sudden)
I feel a sudden desire (Sudden desire)
A sudden desire

[Outro]
I wanted him to kiss me how
With open mouth and open mouth
We keep our distance now
I wanna feel his hand go down
I try not to think about
What happened last night outside his house
Too far to go back now
Just wanna feel his hands go down"
Dead Horse,Petals for Armor,"[Intro]
Alright, it took me three days to send you this, but
Uh, sorry, I was in a depression
But I'm trying to come out of it now


[Verse 1]
Every morning I wake up
From a dream of you, holding me

Underwater
(Is that a dream or a memory?)
Held my breath for a decade

Dyed my hair blue to match my lips

Cool of me to try (Pretty cool I'm still alive)

[Chorus]
I beat it like a dead horse, I beat it like a drum
Oh, I stayed with you too long
Skipping like a record, but I sang along
To a silly little song
I said I beat it like a dead horse, I beat it like a drum

Oh, I stayed with you too long
Skipping like a record, but I sang along
A shitty never-ending song


[Verse 2]
Sometimes it's good to be the bigger person
But I'm so small I can't compare

And after all, it's only fair, yeah
I got what I deserved, I was the other woman first
Other others on the line
But I kept trying to make it work

[Chorus]
I beat it like a dead horse, I beat it like a drum
Oh, I stayed with you too long
Skipping like a record, but I sang along
To a silly little song
I said I beat it like a dead horse, I beat it like a drum

Oh, I stayed with you too long
Skipping like a record, but I sang along
To your shitty little song


[Break]
Ya-ya-ya-ya, ya-ya-ya-ya
Ya-ya-ya-ya-ya-ya-ya
Ya-ya-ya, ya-ya-ya-ya
Ya-ya-ya-ya-ya-ya-ya


[Bridge]
When I said goodbye, I hope you cried
When I said goodbye, I hope you cried
When I said goodbye, I hope you cried
When I said goodbye, I hope you cried

[Chorus]
I beat it like a dead horse, I beat it like a drum
Oh, I stayed with you too long
Skipping like a record, but I sang along
To a silly little song
I said I beat it like a dead horse, I beat it like a drum

Oh, I stayed with you too long
Skipping like a record, but I sang along
And now you get another song

[Outro]
Ya-ya-ya-ya, ya-ya-ya-ya
Ya-ya-ya-ya-ya-ya-ya
Ya-ya-ya, ya-ya-ya-ya
Ya-ya-ya-ya-ya-ya-ya

(Now you get another song)
Ya-ya-ya-ya, ya-ya-ya-ya
Ya-ya-ya-ya-ya-ya-ya
Ya-ya-ya, ya-ya-ya-ya
Ya-ya-ya-ya-ya-ya-ya

(Now you get another song)"
My Friend,Petals for Armor,"[Intro]
Mmm, ah

[Verse 1]
Little wrinkle by your eye
I never noticed 'til right now
Little vicious tiger stripes
If you get closer to my thighs

When you're walkin' with a limp
I can remember wolves at your heels
When my shadow barges in
You never question why she is here
(Eh-eh, eh-eh, eh-eh, eh-eh)

[Chorus]
My friend, when the blood has dried
My friend, instant alibi
You've seen me from every side
Still down for the ride
Ooh, my friend, you know why

[Verse 2]
Not a secret I can't keep
All of your good and your evil
Well, babe, you can leave it with me
Safe together
If it's wrong or if it's right
I am beside you, famine or fi-ire
(I-ire, i-ire, i-ire, i-ire)

[Chorus]
My friend, when the blood has dried
My friend, instant alibi
You've seen me from every side
Still down for the ride
Ooh, my friend

[Bridge]
Who could take your place?
Who could take mine?
None could take your place
None could take mine

[Chorus]
My friend, when the blood has dried
My friend (We stay safe together, we stay safe together)
Instant alibi (We stay safe together, escape death forever)
You've seen me from all sides
Still down for the ride
Ooh, my friend, you know why

[Outro]
We stay safe together
We stay safe together
We stay safe together
Escape death forever
Escape death forever
Escape death forever
We stay safe together
We stay safe together
We stay safe together
Escape death forever
Escape death forever
We stay safe together
Escape death forever"
Over Yet,Petals for Armor,"[Verse 1]
If there's resistance
If there's resistance
It makes you stronger
It's not the end
If there's resistance
If there's resistance
It makes you stronger
Make it your friend

[Verse 2]
When there's persistence
When there's persistence
You can go farther
Beyond the end
If in the distance
There's more resistance
Try to stay open
Make it your friend

[Chorus]
It's the right time
To come alive
Baby, if you wanna try
To get out of your head, yes
Break a sweat
Baby, tell yourself it ain't over yet
It's the right time
To come alive
Baby, if you wanna try
To get out of your head, yes
Break a sweat
Baby, tell yourself it ain't over yet

[Verse 3]
If there's resistance
If there's resistance
It makes you stronger
It's not the end
When there's persistence
When there's persistence
You can go farther
Make it your friend

[Chorus]
It's the right time
To come alive
Baby, if you wanna try
To get out of your head, yes
Break a sweat
Baby, tell yourself it ain't over yet
It's the right time
To come alive
Baby, if you wanna try
To get out of your head, yes
Break a sweat
Baby, tell yourself it ain't over yet

[Bridge]
For every darkened part of me
For every darkened part of me
For every darkened part of me

[Chorus]
It's the right time
To come alive
Baby, if you wanna try
To get out of your head, yes
Break a sweat
Baby, tell yourself it ain't over yet
It's the right time
To come alive
Baby, if you wanna try
To get out of your head, yes
Break a sweat
Baby, tell yourself it ain't over yet

[Outro]
It's the right time
To get out of your head"
Roses/Lotus/Violet/Iris,Petals for Armor,"[Verse 1: Hayley Williams, Hayley Williams & boygenius]
I have seen your body
And I have seen your beauty
They are separate things
Pretty, pretty, pretty things
But I am in a garden
Tending to my own
So what do I care
And what do you care if I grow?
If I grow


[Chorus: Hayley Williams, boygenius]
Roses, roses, roses, roses, roses
(Roses, roses, roses, roses, roses)
Show no concern for colors of a violet

Lotus, lotus, lotus, lotus, lotus
(Lotus, lotus, lotus, lotus, lotus)

Hopes it won't spark envy in your irises


[Verse 2: Hayley Williams, Hayley Williams & boygenius]
Think of all the wilted women
Who crane their necks to reach a window
Ripping all their petals off just 'cause
""He loves me now, he loves me not""
I myself was a wilted woman
Drowsy in a dark room
Forgot my roots
Now watch me bloom

[Chorus: Hayley Williams, boygenius, Both]
Roses, roses, roses, roses, roses
(Roses, roses, roses, roses, roses)
Show no concern for colors of a violet

Lotus, lotus, lotus, lotus, lotus
(Lotus, lotus, lotus, lotus, lotus)

Hopes it won't spark envy in your irises
(Irises)


[Bridge: Hayley Williams, Hayley Williams & boygenius]
And I will not compare
Other beauty to mine
And I will not become
A thorn in my own side

And I will not return
To where I once was
Well, I can break through the earth
Come out soft and wild


[Chorus: Hayley Williams, boygenius, Both]
Roses, roses, roses, roses, roses
(Roses, roses, roses, roses, roses)
Show no concern for colors of a violet

Lotus, lotus, lotus, lotus, lotus
(Lotus, lotus, lotus, lotus, lotus)

Hopes it won't spark envy in your irises

[Outro: boygenius]
(Roses, roses, roses, roses)
(Roses, roses, roses, roses)
(Roses, roses, roses, roses)
(Roses, roses, roses, roses, roses)"
Why We Ever,Petals for Armor,"[Verse 1]
Open your mouth

Say something warm

I've spent a while
On the stranger side of your door

How do you sound?
What do you look like now?
I try to replicate our movements in my mind


[Chorus]
And now I
Can't seem to remember why
We ever
Felt we had to say goodbye
I can't seem to remember why
Can't seem to remember why

[Verse 2]
Tin-can telephone
From your home to my home
I can't feel your energy no more

No more, no more (No more, no more, no more)
No more, no more, ha-ah
No more, no more (No more, no more, no more)
No more, no more, ha-ah
No more, no more

[Chorus]
And now I
Can't seem to remember why
We ever
Felt we had to say goodbye
Can't seem to remember why
Darling, we ever
Can't seem to remember why


[Bridge]
I spent the weekend at home again
Drawing circles on the floor
Tried to keep myself from hurting
I don't know why anymore


[Outro]
I just wanna talk about it
I know I freaked you out
I just wanna talk about it
Sorry for freaking out
I just wanna talk about it
I know I freaked you out
I just wanna talk about it
Sorry for freaking out
Sorry for freaking out
I just wanna talk about it
Sorry for freaking out
I just wanna talk about it
Sorry for freaking out"
Pure Love,Petals for Armor,"[Intro]
Huh

[Verse 1]
The opposite
The opposite of love is fear
I'm still trying to get (Hm)
Used to how the former feels
'Cause it feels so new
You think you know me
Wait 'til I open up to you

[Chorus]
If I want pure love
Must stop acting so tough
(I give a little, you give a little
We get a little sentimental)
If I want your love
Ooh, got to open up
(I give a little, you give a little
We get a little sentimental)

[Verse 2]
A deeper way
A deeper way to understand
To understand the line between
Who you are and who I am, baby
'Cause to let you in (I want your love, I want your love now)
Is true compromise (I want your love)
Not just the friction of our skin (I want your love now)

[Chorus]
If I want pure love
Must stop acting so tough
(I give a little, you give a little
We get a little sentimental)
If I want your love
Ooh, got to open up
(I give a little, you give a little
We get a little experimental
)

[Bridge]
I guess, I guess (I guess, I guess)
I could, I guess (I could, I guess)
Guess I oughta clean up these bloody fists if it's alright
And yes, I guess (And yes, I guess)
It's for the best (It's for the best)
Guess you really gotta call your own bluff if you want pure love
(If I want pure love)

[Chorus]
If I want pure love
Must stop acting so tough
(I give a little, you give a little
We get a little sentimental)
If I want your love
Ooh, got to open up
(I give a little, you give a little
We get a little sentimental)

[Outro]
If I want your love, ooh
(If I want your love)
(I want your love, I want your love
I want your love, I want your love now)
(I want your love, I want your love
I want your love, I want your love now)
(I give a little, you give a little
We get a little sentimental)
And if I want your love
(If I want your love)
(I want your love, I want your love
I want your love, I want your love now)
(I give a little, you give a little
We get a little sentimental)"
